variety,Grape
Cabernet-Syrah,Red
Sauvignon Blanc-Chardonnay,White
Symphony,White
Edelzwicker,White
Madeira Blend,White
Black Muscat,Red
Grenache Noir,Red
Durella,White
Xinomavro,Red
Tinto del Pais,Red
Merlot-Cabernet Sauvignon,Red
Cercial,White
Johannisberg Riesling,White
Petite Verdot,Red
Passerina,White
Valdiguié,Red
Colombard-Sauvignon Blanc,White
Kangoun,White
Loureiro,White
Posip,White
Uva di Troia,Red
Gros and Petit Manseng,White
Jacquère,White
Kalecik Karasi,Red
Karasakiz,Red
Mourvèdre-Syrah,Red
Negrette,Red
Zierfandler-Rotgipfler,White
Clairette,White
Raboso,Red
País,Red
Mauzac,White
Pinot Auxerrois,White
Chenin Blanc-Sauvignon Blanc,White
Diamond,White
Marzemino,Red
Tinta Barroca,Red
Chardonnay-Sauvignon Blanc,White
Castelão,Red
Trebbiano Spoletino,Red
Teran,Red
Trepat,Red
Freisa,Red
Neuburger,White
Sämling,White
Chasselas,White
Hárslevelü,White
Trincadeira,Red
Merlot-Tannat,Red
Rkatsiteli,White
Melnik,Red
Siegerrebe,White
Trousseau Gris,White
Grenache Blend,Red
Gros Manseng,White
Portuguese Rosé,Red
Brachetto,Red
Mantonico,White
Ekigaïna,Red
Muskateller,White
Aligoté,White
Sangiovese Cabernet,Red
Touriga Nacional-Cabernet Sauvignon,Red
Muscat Blanc,White
Argaman,Red
Viognier-Roussanne,White
Pallagrello Bianco,White
Bobal,Red
Malvasia Istriana,White
Cabernet Sauvignon-Cabernet Franc,Red
Baco Noir,Red
Veltliner,White
Tempranillo-Tannat,Red
Morillon,White
Touriga Franca,Red
Picolit,White
Barbera-Nebbiolo,Red
Prieto Picudo,Red
Gaglioppo,Red
Tokay,Red
Sacy,White
Piedirosso,Red
Piquepoul Blanc,White
Mansois,Red
Chardonnay-Sauvignon,White
Tempranillo-Garnacha,Red
Carmenère-Cabernet Sauvignon,Red
Chenin Blanc-Viognier,White
Susumaniello,Red
Vitovska,White
Orange Muscat,White
Grauburgunder,White
Carignane,Red
Moscatel Roxo,White
Tannat-Merlot,Red
Nerello Cappuccio,Red
Counoise,Red
Macabeo,White
Mazuelo,Red
Sauvignon-Sémillon,White
Tinta del Pais,Red
Vranec,Red
Mavrud,Red
Cesanese d'Affile,Red
Moscato Giallo,White
Debit,White
Verdil,White
Cabernet,Red
Verduzzo Friulano,White
Treixadura,White
Loin de l'Oeil,White
Coda di Volpe,White
Grenache-Mourvèdre,Red
Forcallà,Red
Viura-Verdejo,White
Bombino Bianco,White
Pinot-Chardonnay,White
Syrah-Tempranillo,Red
Cabernet Sauvignon-Barbera,Red
Merlot-Cabernet,Red
Muscat d'Alexandrie,White
Jaen,Red
Tinta del Toro,Red
Timorasso,White
Pigato,White
Sangiovese-Cabernet Sauvignon,Red
Shiraz-Cabernet,Red
Viognier-Gewürztraminer,White
Prunelard,Red
Sauvignon Blanc-Chenin Blanc,White
Gros Plant,White
Malbec-Petit Verdot,Red
Colombard-Ugni Blanc,White
Grignolino,Red
Garnacha-Syrah,Red
Rufete,Red
Tempranillo-Shiraz,Red
Mtsvane,White
Chardonnay-Pinot Gris,White
Marawi,White
Chardonnay-Pinot Blanc,White
Mataro,Red
Tinta Cao,Red
Blauer Portugieser,Red
Ugni Blanc,White
Groppello,Red
Semillon-Chardonnay,White
Irsai Oliver,White
Alvarelhão,Red
Poulsard,Red
Grenache-Shiraz,Red
Baga-Touriga Nacional,Red
Carineña,Red
Pignoletto,White
Muscatel,White
Mavrodaphne,Red
Ciliegiolo,Red
Viognier-Grenache Blanc,White
Greco Bianco,White
Cabernet Sauvignon-Merlot-Shiraz,Red
Sciaccerellu,Red
Zelen,White
Alicante,Red
Emir,White
Rosenmuskateller,White
Tsolikouri,White
Narince,White
Malbec-Cabernet,Red
Touriga,Red
Grecanico,White
Carmenère-Syrah,Red
Madeleine Angevine,White
Mavroudi,Red
Pinot Blanc-Pinot Noir,Red
Muscat Hamburg,Red
Tempranillo Blanco,White
Casavecchia,Red
Pinot Gris-Gewürztraminer,White
White Riesling,White
Tinto Velasco,Red
Hondarrabi Zuri,White
Nuragus,White
Xynisteri,White
Kadarka,Red
Sauvignon Musqué,Red
Roussanne-Marsanne,White
Incrocio Manzoni,Unknown
Terrantez,White
Bual,White
Okuzgozu,Red
Rivaner,White
Doña Blanca,White
Graševina,White
Lambrusco Salamino,Red
Sangiovese-Syrah,Red
Tannat-Cabernet Franc,Red
Thrapsathiri,White
Fer Servadou,Red
Mission,Red
Kekfrankos,Red
Cococciola,White
Blauburgunder,Red
Marquette,Red
Romorantin,White
Verdejo-Sauvignon Blanc,White
Braucol,Red
Malvasia-Viura,White
Savatiano,White
Cabernet Franc-Malbec,Red
Pallagrello Nero,Red
Rebula,White
Vespolina,Red
Shiraz-Malbec,Red
Rebo,Red
Macabeo-Chardonnay,White
Tempranillo-Malbec,Red
Tamjanika,Red
Trousseau,Red
Bacchus,White
Syrah-Malbec,Red
Syrah-Cabernet Franc,Red
Macabeo-Moscatel,White
Cariñena-Garnacha,Unknown
Plyto,White
Códega do Larinho,White
Sideritis,White
Çalkarası,Red
Azal,White
Moscatel Graúdo,Unknown
Viosinho,White
Moschofilero-Chardonnay,White
Paralleda,White
Rara Neagra,Red
Malvasia di Candia,White
Maria Gomes,White
Molinara,Red
Malvar,White
Airen,White
